Parse Process Log
=================

------------------------------------------------------------
Step   Stack                                    Input                          Action
118    $ . compound_statement subprogram_d...   := ...                         REDUCE field_chain -> epsilon
119    $ . compound_statement subprogram_d...   := ...                         REDUCE id_varpart -> field_chain
120    $ . compound_statement subprogram_d...   := ...                         MATCH 'assignop'
121    $ . compound_statement subprogram_d...   p ...                          PREDICT expression -> simple_expression expression_tail
122    $ . compound_statement subprogram_d...   p ...                          PREDICT simple_expression -> term simple_expression'
123    $ . compound_statement subprogram_d...   p ...                          PREDICT term -> factor term'
124    $ . compound_statement subprogram_d...   p ...                          PREDICT factor -> id factor_id_tail
125    $ . compound_statement subprogram_d...   p ...                          MATCH 'id'
126    $ . compound_statement subprogram_d...   ; ...                          PREDICT factor_id_tail -> epsilon
127    $ . compound_statement subprogram_d...   ; ...                          REDUCE factor_id_tail -> epsilon
128    $ . compound_statement subprogram_d...   ; ...                          REDUCE factor -> id factor_id_tail
129    $ . compound_statement subprogram_d...   ; ...                          PREDICT term' -> epsilon
130    $ . compound_statement subprogram_d...   ; ...                          REDUCE term' -> epsilon
131    $ . compound_statement subprogram_d...   ; ...                          REDUCE term -> factor term'
132    $ . compound_statement subprogram_d...   ; ...                          PREDICT simple_expression' -> epsilon
133    $ . compound_statement subprogram_d...   ; ...                          REDUCE simple_expression' -> epsilon
134    $ . compound_statement subprogram_d...   ; ...                          REDUCE simple_expression -> term simple_expression'
135    $ . compound_statement subprogram_d...   ; ...                          PREDICT expression_tail -> epsilon
136    $ . compound_statement subprogram_d...   ; ...                          REDUCE expression_tail -> epsilon
137    $ . compound_statement subprogram_d...   ; ...                          REDUCE expression -> simple_expression expression_tail
138    $ . compound_statement subprogram_d...   ; ...                          REDUCE statement_id_tail -> id_varpart assignop expression
139    $ . compound_statement subprogram_d...   ; ...                          REDUCE statement -> id statement_id_tail
140    $ . compound_statement subprogram_d...   ; ...                          PREDICT statement_list' -> ; statement statement_list'
141    $ . compound_statement subprogram_d...   ; ...                          MATCH ';'
142    $ . compound_statement subprogram_d...   end ...                        PREDICT statement -> epsilon
143    $ . compound_statement subprogram_d...   end ...                        REDUCE statement -> epsilon
144    $ . compound_statement subprogram_d...   end ...                        PREDICT statement_list' -> epsilon
145    $ . compound_statement subprogram_d...   end ...                        REDUCE statement_list' -> epsilon
146    $ . compound_statement subprogram_d...   end ...                        REDUCE statement_list' -> ; statement statement_list'
147    $ . compound_statement subprogram_d...   end ...                        REDUCE statement_list' -> ; statement statement_list'
148    $ . compound_statement subprogram_d...   end ...                        REDUCE statement_list -> statement statement_list'
149    $ . compound_statement subprogram_d...   end ...                        MATCH 'end'
150    $ . compound_statement subprogram_d...   ; ...                          REDUCE subprogram_body -> begin statement_list end
151    $ . compound_statement subprogram_d...   ; ...                          REDUCE subprogram -> subprogram_head ; subprogram_body
152    $ . compound_statement subprogram_d...   ; ...                          MATCH ';'
153    $ . compound_statement subprogram_d...   begin ...                      PREDICT subprogram_declarations -> epsilon
154    $ . compound_statement                   begin ...                      REDUCE subprogram_declarations -> epsilon
155    $ . compound_statement                   begin ...                      REDUCE subprogram_declarations -> subprogram ; subprogram_declarations
156    $ . compound_statement                   begin ...                      PREDICT compound_statement -> begin statement_list end
157    $ . end statement_list begin             begin ...                      MATCH 'begin'
158    $ . end statement_list                   a ...                          PREDICT statement_list -> statement statement_list'
159    $ . end statement_list' statement        a ...                          PREDICT statement -> id statement_id_tail
160    $ . end statement_list' statement_i...   a ...                          MATCH 'id'
161    $ . end statement_list' statement_i...   := ...                         PREDICT statement_id_tail -> id_varpart assignop expression
162    $ . end statement_list' expression ...   := ...                         PREDICT id_varpart -> field_chain
163    $ . end statement_list' expression ...   := ...                         PREDICT field_chain -> epsilon
164    $ . end statement_list' expression ...   := ...                         REDUCE field_chain -> epsilon
165    $ . end statement_list' expression ...   := ...                         REDUCE id_varpart -> field_chain
166    $ . end statement_list' expression ...   := ...                         MATCH 'assignop'
167    $ . end statement_list' expression       10 ...                         PREDICT expression -> simple_expression expression_tail
168    $ . end statement_list' expression_...   10 ...                         PREDICT simple_expression -> term simple_expression'
169    $ . end statement_list' expression_...   10 ...                         PREDICT term -> factor term'
170    $ . end statement_list' expression_...   10 ...                         PREDICT factor -> num
171    $ . end statement_list' expression_...   10 ...                         MATCH 'num'
172    $ . end statement_list' expression_...   ; ...                          REDUCE factor -> num
173    $ . end statement_list' expression_...   ; ...                          PREDICT term' -> epsilon
174    $ . end statement_list' expression_...   ; ...                          REDUCE term' -> epsilon
175    $ . end statement_list' expression_...   ; ...                          REDUCE term -> factor term'
176    $ . end statement_list' expression_...   ; ...                          PREDICT simple_expression' -> epsilon
177    $ . end statement_list' expression_...   ; ...                          REDUCE simple_expression' -> epsilon
178    $ . end statement_list' expression_...   ; ...                          REDUCE simple_expression -> term simple_expression'
179    $ . end statement_list' expression_...   ; ...                          PREDICT expression_tail -> epsilon
180    $ . end statement_list'                  ; ...                          REDUCE expression_tail -> epsilon
181    $ . end statement_list'                  ; ...                          REDUCE expression -> simple_expression expression_tail
182    $ . end statement_list'                  ; ...                          REDUCE statement_id_tail -> id_varpart assignop expression
183    $ . end statement_list'                  ; ...                          REDUCE statement -> id statement_id_tail
184    $ . end statement_list'                  ; ...                          PREDICT statement_list' -> ; statement statement_list'
185    $ . end statement_list' statement ;      ; ...                          MATCH ';'
186    $ . end statement_list' statement        b ...                          PREDICT statement -> id statement_id_tail
187    $ . end statement_list' statement_i...   b ...                          MATCH 'id'
188    $ . end statement_list' statement_i...   := ...                         PREDICT statement_id_tail -> id_varpart assignop expression
189    $ . end statement_list' expression ...   := ...                         PREDICT id_varpart -> field_chain
190    $ . end statement_list' expression ...   := ...                         PREDICT field_chain -> epsilon
191    $ . end statement_list' expression ...   := ...                         REDUCE field_chain -> epsilon
192    $ . end statement_list' expression ...   := ...                         REDUCE id_varpart -> field_chain
193    $ . end statement_list' expression ...   := ...                         MATCH 'assignop'
194    $ . end statement_list' expression       func ...                       PREDICT expression -> simple_expression expression_tail
195    $ . end statement_list' expression_...   func ...                       PREDICT simple_expression -> term simple_expression'
196    $ . end statement_list' expression_...   func ...                       PREDICT term -> factor term'
197    $ . end statement_list' expression_...   func ...                       PREDICT factor -> id factor_id_tail
198    $ . end statement_list' expression_...   func ...                       MATCH 'id'
199    $ . end statement_list' expression_...   ( ...                          PREDICT factor_id_tail -> ( expression_list )
200    $ . end statement_list' expression_...   ( ...                          MATCH '('
201    $ . end statement_list' expression_...   a ...                          PREDICT expression_list -> expression expression_list'
202    $ . end statement_list' expression_...   a ...                          PREDICT expression -> simple_expression expression_tail
203    $ . end statement_list' expression_...   a ...                          PREDICT simple_expression -> term simple_expression'
204    $ . end statement_list' expression_...   a ...                          PREDICT term -> factor term'
205    $ . end statement_list' expression_...   a ...                          PREDICT factor -> id factor_id_tail
206    $ . end statement_list' expression_...   a ...                          MATCH 'id'
207    $ . end statement_list' expression_...   ) ...                          PREDICT factor_id_tail -> epsilon
208    $ . end statement_list' expression_...   ) ...                          REDUCE factor_id_tail -> epsilon
209    $ . end statement_list' expression_...   ) ...                          REDUCE factor -> id factor_id_tail
210    $ . end statement_list' expression_...   ) ...                          PREDICT term' -> epsilon
211    $ . end statement_list' expression_...   ) ...                          REDUCE term' -> epsilon
212    $ . end statement_list' expression_...   ) ...                          REDUCE term -> factor term'
213    $ . end statement_list' expression_...   ) ...                          PREDICT simple_expression' -> epsilon
214    $ . end statement_list' expression_...   ) ...                          REDUCE simple_expression' -> epsilon
215    $ . end statement_list' expression_...   ) ...                          REDUCE simple_expression -> term simple_expression'
216    $ . end statement_list' expression_...   ) ...                          PREDICT expression_tail -> epsilon
217    $ . end statement_list' expression_...   ) ...                          REDUCE expression_tail -> epsilon
218    $ . end statement_list' expression_...   ) ...                          REDUCE expression -> simple_expression expression_tail
219    $ . end statement_list' expression_...   ) ...                          PREDICT expression_list' -> epsilon
220    $ . end statement_list' expression_...   ) ...                          REDUCE expression_list' -> epsilon
221    $ . end statement_list' expression_...   ) ...                          REDUCE expression_list -> expression expression_list'
222    $ . end statement_list' expression_...   ) ...                          MATCH ')'
223    $ . end statement_list' expression_...   ; ...                          REDUCE factor_id_tail -> ( expression_list )
224    $ . end statement_list' expression_...   ; ...                          REDUCE factor -> id factor_id_tail
225    $ . end statement_list' expression_...   ; ...                          PREDICT term' -> epsilon
226    $ . end statement_list' expression_...   ; ...                          REDUCE term' -> epsilon
227    $ . end statement_list' expression_...   ; ...                          REDUCE term -> factor term'
228    $ . end statement_list' expression_...   ; ...                          PREDICT simple_expression' -> epsilon
229    $ . end statement_list' expression_...   ; ...                          REDUCE simple_expression' -> epsilon
230    $ . end statement_list' expression_...   ; ...                          REDUCE simple_expression -> term simple_expression'
231    $ . end statement_list' expression_...   ; ...                          PREDICT expression_tail -> epsilon
232    $ . end statement_list'                  ; ...                          REDUCE expression_tail -> epsilon
233    $ . end statement_list'                  ; ...                          REDUCE expression -> simple_expression expression_tail
234    $ . end statement_list'                  ; ...                          REDUCE statement_id_tail -> id_varpart assignop expression
235    $ . end statement_list'                  ; ...                          REDUCE statement -> id statement_id_tail
236    $ . end statement_list'                  ; ...                          PREDICT statement_list' -> ; statement statement_list'
237    $ . end statement_list' statement ;      ; ...                          MATCH ';'
238    $ . end statement_list' statement        write ...                      PREDICT statement -> write ( expression_list )
239    $ . end statement_list' ) expressio...   write ...                      MATCH 'write'
240    $ . end statement_list' ) expressio...   ( ...                          MATCH '('
241    $ . end statement_list' ) expressio...   b ...                          PREDICT expression_list -> expression expression_list'
242    $ . end statement_list' ) expressio...   b ...                          PREDICT expression -> simple_expression expression_tail
